	THP1_0H	THP1_0H_2	THP1_0H_3	Avg_expression	log2
LOC439994	144.8062516	155.5806819	118.593321	139.6600848	7.125775944
CTSW	97.36972092	173.8331641	147.8355097	139.6794649	7.125976127
LOC100506714	123.1685359	140.804863	155.1460569	139.7064852	7.126255183
ZNF718	136.4840532	112.9915567	169.7671512	139.7475871	7.126679563
TIAM2	131.4907342	129.5057073	158.3951889	139.7972102	7.12719176
GPR153	155.6251095	147.7581895	116.1564719	139.8465903	7.127701269
MT2A	150.6317905	162.5340085	106.4090757	139.8582915	7.127821977
CEACAM21	125.6651954	163.4031743	130.7775663	139.9486453	7.128753712
ITGA3	143.1418119	146.8890237	129.9652832	139.9987063	7.129269685
KAZN	132.3229541	151.2348528	136.4635474	140.0071181	7.129356367
CCDC120	122.336316	142.5431946	155.1460569	140.0085225	7.129370838
OTUD1	143.1418119	122.5523807	154.3337738	140.0093222	7.129379078
THSD4	121.5040962	140.804863	158.3951889	140.234716	7.131699732
KIAA2022	153.12845	96.4774061	171.3917173	140.3325245	7.132705607
LINC00476	158.121769	132.9823706	129.9652832	140.3564743	7.132951803
LRRC27	151.4640103	136.4590339	133.2144153	140.3791532	7.133184896
DLX4	157.2895492	151.2348528	112.9073398	140.4772473	7.13419267
GIN1	144.8062516	132.9823706	143.7740946	140.5209056	7.134640969
TTC30B	133.1551739	139.9356971	148.6477927	140.5795546	7.135242979
PTPRH	139.8129326	150.365687	131.5898493	140.5894896	7.135344933
C11orf35	145.6384715	139.0665313	137.2758304	140.6602777	7.136071161
TTYH2	132.3229541	139.9356971	150.2723587	140.84367	7.137950915
HOXA1	124.8329755	143.4123604	154.3337738	140.8597033	7.138115138
OTUB2	126.4974152	119.0757174	177.0776984	140.8836104	7.138359976
LOC100288798	153.12845	126.8982098	142.9618116	140.9961571	7.139512032
PDLIM4	128.1618549	149.4965212	145.3986606	141.0190122	7.13974587
LOC84989	146.4706913	156.4498477	120.217887	141.046142	7.140023395
LOC100506090	143.9740318	146.0198579	133.2144153	141.069435	7.140261628
KIAA1467	133.9873937	162.5340085	126.7161512	141.0791845	7.140361331
LOC100233209	159.7862087	129.5057073	134.0266983	141.1062048	7.140637618
GJC1	146.4706913	135.589868	141.3372455	141.1326016	7.140907479
PKP2	154.7928897	136.4590339	132.4021323	141.2180186	7.14178037
ABCC3	118.1752168	125.1598782	180.3268305	141.2206418	7.141807169
PACSIN1	127.329635	147.7581895	148.6477927	141.2452058	7.142058089
EIF5AL1	123.1685359	163.4031743	137.2758304	141.2825135	7.142439105
DNM3	155.6251095	129.5057073	138.9003965	141.3437377	7.143064156
ZNF235	145.6384715	123.4215465	155.1460569	141.402025	7.14365897
C12orf76	128.1618549	144.2815262	151.8969248	141.4467686	7.144115408
HERC2P7	142.3095921	139.0665313	143.7740946	141.7167393	7.146866367
FOXE1	166.4439674	132.1132048	126.7161512	141.7577744	7.147284049
SPSB2	128.9940747	139.9356971	156.7706229	141.9001316	7.148732117
SHISA4	128.9940747	130.3748731	166.5180191	141.9623223	7.14936427
RELL1	138.9807128	127.7673756	159.207472	141.9851868	7.149596612
NOL3	134.8196136	136.4590339	155.1460569	142.1415681	7.15118471
MED11	140.6451524	164.2723401	121.842453	142.2533152	7.152318465
DUSP4	120.6718763	123.4215465	182.7636796	142.2857008	7.152646873
ZNF280B	154.7928897	126.8982098	145.3986606	142.3632534	7.153432997
C16orf79	135.6518334	135.589868	155.9583399	142.4000138	7.153805476
MIPEP	131.4907342	152.9731844	142.9618116	142.4752434	7.154567447
SAMD8	131.4907342	117.3373858	178.7022645	142.5101282	7.154920645
PFKM	139.8129326	143.4123604	144.5863776	142.6038902	7.155869529
ZNF322P1	148.135131	138.1973655	142.1495285	142.8273417	7.158128373
BTBD19	115.6785573	139.0665313	173.8285663	142.857885	7.158436857
KIRREL2	114.0141177	170.3565009	144.5863776	142.9856654	7.159726711
BRMS1L	156.4573293	131.2440389	141.3372455	143.0128713	7.160001186
CDS1	147.3029111	153.8423503	128.3407172	143.1619929	7.161504722
DNAJC27	135.6518334	133.8515364	160.019755	143.1743749	7.161629495
PEX12	129.8262946	152.9731844	147.0232267	143.2742352	7.162635385
CA11	114.8463375	136.4590339	178.7022645	143.3358786	7.163255968
PRAF2	137.3162731	156.4498477	136.4635474	143.4098894	7.164000704
COQ3	128.9940747	163.4031743	138.0881134	143.4951208	7.164857872
MARCH1	152.2962302	100.8232352	177.8899814	143.6698156	7.166613179
PDPN	158.9539888	149.4965212	122.6547361	143.7017487	7.166933808
SPA17	163.115088	150.365687	117.7810379	143.7539376	7.167457664
LOC286437	160.6184285	101.692401	168.9548682	143.7552326	7.16747066
CYP7B1	163.115088	119.0757174	149.4600757	143.8836271	7.168758623
PLK2	158.121769	159.0573452	114.5319059	143.9036734	7.168959609
SYT3	124.0007557	147.7581895	160.019755	143.9262334	7.169185766
AEBP1	127.329635	136.4590339	168.1425852	143.9770847	7.169695401
HRH1	161.4506484	152.9731844	117.7810379	144.0682902	7.17060902
SLC9A3	132.3229541	139.9356971	160.019755	144.0928021	7.170854459
FAM86HP	133.1551739	144.2815262	155.1460569	144.1942523	7.171869849
LAMB1	157.2895492	142.5431946	133.2144153	144.349053	7.173417833
PHLDA3	133.9873937	139.0665313	160.019755	144.3578933	7.173506185
DNMBP	143.9740318	138.1973655	151.0846418	144.4186797	7.174113548
BCAR1	139.8129326	139.9356971	153.5214908	144.4233735	7.174160437
PARP16	158.9539888	159.926511	115.3441889	144.7415629	7.177335445
SMO	136.4840532	160.7956768	137.2758304	144.8518535	7.178434335
C8orf45	151.4640103	131.2440389	151.8969248	144.8683247	7.178598375
PCSK4	118.1752168	130.3748731	186.8250947	145.1250615	7.181152869
DUSP5P	130.6585144	165.1415059	139.7126795	145.1708999	7.181608478
