"","THP1_0H","THP1_0H_2","THP1_0H_3","THP1_16H","THP1_16H_2","THP1_16H_3"
"HIST1H4K",12,10,13,15,20,30
"HIST1H2AK",5,6,2,5,3,3
"HIST1H2BN",8,10,8,5,9,8
"HIST1H2AL",4,5,4,0,0,2
"HIST1H1B",1,1,1,1,1,1
"HIST1H3I",0,1,0,0,0,0
"HIST1H4L",0,0,0,0,0,1
"HIST1H3J",2,3,2,3,3,0
"HIST1H2AM",4,1,3,0,2,1
"HIST1H2BO",3,1,2,2,3,9
"OR2B2",0,0,0,0,0,0
"OR2B6",2,0,1,9,4,3
"LOC100507241",3,3,4,0,1,1
"ZNF165",10,13,12,5,10,12
"ZSCAN12P1",12,7,19,6,11,6
"LOC100129195",66,62,62,24,25,32
"ZSCAN16",30,25,19,43,51,28
"ZNF192",1059,895,1058,632,758,795
"ZNF192P1",83,73,83,16,18,20
"TOB2P1",81,56,56,27,48,41
"ZNF193",207,184,232,102,147,141
"ZKSCAN4",208,208,262,129,165,148
"NKAPL",0,0,0,0,0,0
"ZNF187",235,180,225,143,166,156
"PGBD1",81,81,85,69,70,54
"ZNF323",101,104,82,10,9,15
"ZKSCAN3",190,163,189,79,81,64
"ZSCAN12",282,274,322,232,244,246
"ZSCAN23",50,47,46,26,31,20
"GPX6",0,0,0,0,0,0
"GPX5",0,0,0,0,0,0
"SCAND3",9,6,7,1,4,3
"LOC401242",1,2,1,1,2,0
"TRIM27",2043,2078,1874,743,767,779
"ZNF311",82,65,86,48,44,49
"LOC100129636",0,0,0,0,0,0
"OR2W1",0,0,0,0,0,0
"OR2B3",0,0,0,0,0,0
"OR2J3",0,0,0,0,0,0
"OR2J2",0,0,0,0,0,0
"OR14J1",0,0,0,0,0,0
"OR5V1",0,0,0,0,0,0
"OR12D3",0,0,0,0,0,0
"OR12D2",0,0,0,0,0,0
"OR11A1",0,0,0,0,0,0
"OR10C1",0,0,0,0,0,0
"OR2H1",0,0,0,0,0,0
"MAS1L",0,0,0,0,0,0
"LOC100507362",0,0,0,0,0,0
"UBD",0,0,0,0,0,3
"SNORD32B",0,0,0,0,0,0
"OR2H2",0,0,0,0,0,0
"GABBR1",27,25,63,52,56,73
"MOG",0,0,0,0,0,0
"ZFP57",0,0,0,0,0,0
"HLA-F",141,114,232,2877,3027,2855
"HLA-F-AS1",60,40,57,103,136,119
"IFITM4P",7,19,5,14,13,14
"HCG4",28,9,15,71,88,65
"LOC554223",0,1,0,2,1,1
"HLA-G",116,144,182,451,435,455
"HLA-H",2491,2730,3454,9617,9411,8727
"HCG4B",1,0,1,0,2,0
"HLA-A",10889,11847,15364,51363,52206,49323
"HCG9",1,2,2,2,4,5
"ZNRD1-AS1",43,46,61,15,14,21
"HLA-J",113,114,124,226,239,219
"HCG8",30,45,33,14,16,9
"ZNRD1",194,237,244,141,123,158
"PPP1R11",854,842,779,911,940,897
"RNF39",27,27,36,25,28,25
"TRIM31",7,3,1,488,507,481
"TRIM40",0,0,0,0,0,0
"TRIM10",0,0,0,1,1,0
"TRIM15",0,0,0,0,1,0
"TRIM26",410,432,349,1949,2115,2056
"HLA-L",79,95,117,262,229,216
"HCG18",407,352,562,151,187,236
"TRIM39",126,147,116,102,111,107
"TRIM39-RPP21",0,0,0,0,0,0
"RPP21",3,8,9,3,3,4
"HLA-E",4081,4319,5250,20282,21292,19623
"GNL1",844,814,869,526,553,559
"PRR3",484,493,478,226,257,291
"ABCF1",2415,2374,2223,2335,2624,2648
"MIR877",0,1,0,1,0,1
"PPP1R10",3398,3508,3135,3329,3624,3524
"MRPS18B",752,836,703,396,390,380
"ATAT1",166,186,187,70,78,73
"C6orf136",213,204,250,118,117,118
"DHX16",1019,1020,915,904,978,980
"KIAA1949",1199,1257,1299,4088,4432,4411
"NRM",522,510,382,275,291,298
"MDC1",3661,3639,2813,2308,2599,2582
"TUBB",30536,31415,25387,13707,15134,14374
"FLOT1",611,630,677,1242,1330,1309
"IER3",1,3,3,127,133,152
"DDR1",5,3,4,0,2,1
"MIR4640",0,0,0,0,0,0
"GTF2H4",304,333,349,142,160,145
"VARS2",296,275,303,97,101,101
"SFTA2",0,0,0,0,0,0
"DPCR1",0,0,0,0,0,0
"MUC21",0,0,0,0,0,0
"MUC22",0,0,0,0,0,0
"HCG22",0,0,0,0,0,0
"C6orf15",0,0,0,0,0,0
"PSORS1C1",2,0,1,0,0,0
"CDSN",0,0,0,0,0,0
"PSORS1C2",0,1,0,0,0,0
"CCHCR1",697,741,702,479,495,465
"TCF19",2007,2024,1757,1774,1914,1908
"POU5F1",32,30,29,19,30,20
"PSORS1C3",5,7,7,1,1,2
"HCG27",85,70,64,41,53,44
"HLA-C",8013,8662,10873,23886,24538,23453
"HLA-B",17894,19689,24516,60803,62143,58118
"MICA",424,453,491,622,718,693
"HCP5",64,95,140,415,429,364
"HCG26",7,5,16,15,30,22
"MICB",362,402,327,1090,1282,1185
"MCCD1",1,0,0,1,0,0
"ATP6V1G2-DDX39B",0,0,0,0,0,0
"DDX39B",9,5,13,15,11,7
"SNORD117",20,17,16,10,21,10
"SNORD84",41,67,37,46,59,47
"ATP6V1G2",12,6,17,7,4,6
"NFKBIL1",815,1002,1010,1130,1194,1091
"LOC100287329",29,24,21,182,186,231
"LTA",16,12,9,861,884,900
"TNF",451,429,341,10456,11442,11611
"LTB",148,145,132,87,91,83
"LST1",6616,7087,6637,5544,5901,5134
"NCR3",24,33,18,53,53,51
"AIF1",4527,4484,4358,2129,2295,1984
"PRRC2A",39510,41646,38009,28113,28684,29977
"SNORA38",4,1,2,2,3,3
"BAG6",16824,17121,14953,13331,13699,14296
"APOM",61,55,55,34,29,33
"C6orf47",1100,1146,1139,1603,1805,1577
"GPANK1",1406,1470,1230,1090,1217,1144
"CSNK2B",5468,5443,5134,4649,5197,4968
"LY6G5B",660,715,705,471,461,518
"LY6G5C",60,62,53,43,49,45
"ABHD16A",2297,2430,2295,3167,3325,3141
"MIR4646",0,0,0,0,1,0
"LY6G6F",0,0,0,0,0,0
"LY6G6E",1,0,0,0,0,0
"LY6G6D",1,0,0,0,0,0
"LY6G6C",3,7,3,5,8,2
"C6orf25",5,4,6,15,21,19
"DDAH2",544,556,524,443,486,489
"CLIC1",17939,18974,17808,25562,28465,24638
"MSH5",33,42,33,5,11,7
"MSH5-C6orf26",185,170,179,29,32,39
"C6orf26",0,0,0,0,0,0
"C6orf27",47,51,57,102,99,109
"VARS",9075,9095,8263,4342,4619,4431
"LSM2",1197,1223,1277,1024,1118,1101
"HSPA1L",108,94,135,69,85,51
"HSPA1A",2924,2746,2509,4688,4699,4569
"HSPA1B",3156,2982,2738,5408,5393,5053
"C6orf48",7573,7765,9691,3436,3588,3322
"SNORD48",64,50,58,21,32,33
"SNORD52",48,54,78,27,30,24
"NEU1",2620,2838,2638,4240,4598,4231
"SLC44A4",21,13,20,2,7,1
"EHMT2",5054,5198,4822,1110,1121,1051
"ZBTB12",298,285,301,40,50,55
"C2",1297,1408,2204,7622,8231,7977
"CFB",53,55,95,2124,2237,2231
"RDBP",2653,3010,2763,1385,1550,1409
"MIR1236",0,0,1,1,2,0
"SKIV2L",4587,4683,5300,3411,3535,3499
"DOM3Z",901,919,975,585,613,651
"STK19",434,472,479,348,348,390
"C4A",325,357,391,560,575,566
"CYP21A1P",7,10,5,4,2,3
"TNXA",45,40,93,40,66,43
"C4B",319,345,371,565,587,580
"CYP21A2",3,10,8,4,0,6
"TNXB",317,369,647,273,318,312
"ATF6B",9189,9400,8478,3379,3672,3733
"FKBPL",224,215,231,105,133,128
"PRRT1",1,2,2,1,1,0
"LOC100507547",3,5,5,0,0,0
"PPT2",66,70,85,19,16,12
"PPT2-EGFL8",5,15,19,1,4,4
"EGFL8",1,1,1,0,2,0
"AGPAT1",2848,2730,2924,1387,1378,1546
"RNF5",1544,1727,1563,673,726,631
"AGER",679,612,735,721,745,757
"PBX2",6437,6403,7482,6171,6838,6850
"GPSM3",5087,5398,5640,3738,3941,3911
"NOTCH4",68,50,65,27,20,18
"C6orf10",4,0,0,15,11,8
"BTNL2",14,15,26,2,6,5
"HLA-DRA",191,176,311,1158,1291,1186
"HLA-DRB5",1037,1226,1244,1065,1165,983
"HLA-DRB6",149,147,204,139,188,182
"HLA-DRB1",3007,3234,3875,3204,3400,3064
"HLA-DQA1",20,14,28,37,35,36
"HLA-DQB1",727,766,961,553,614,497
"HLA-DQA2",0,0,0,1,1,0
"MIR3135B",0,0,0,0,0,0
"HLA-DQB2",0,1,0,0,2,1
"HLA-DOB",37,29,43,170,194,210
"TAP2",4634,4565,4750,17630,19422,19329
"PSMB8",4086,4366,4422,11433,12437,11215
"LOC100507463",788,775,909,1314,1442,1319
"TAP1",1797,1764,1788,49838,53500,49698
"PSMB9",906,1001,938,6421,6574,6025
"LOC100294145",1129,968,1071,933,972,937
"HLA-DMB",23,20,21,21,26,31
"HLA-DMA",400,385,375,236,240,254
"BRD2",15918,15935,14530,21899,24215,24717
"HLA-DOA",0,0,0,4,2,1
"HLA-DPA1",100,75,161,179,168,164
"HLA-DPB1",30,43,64,59,61,71
"HLA-DPB2",1,4,7,0,0,2
"COL11A2",196,215,244,187,239,236
"RXRB",3867,4000,4134,2741,2908,2810
"SLC39A7",4569,4466,4400,5019,5692,5355
"HSD17B8",114,120,132,21,20,25
"MIR219-1",0,2,10,0,0,1
"RING1",2552,2524,2709,2301,2348,2321
"VPS52",5233,5021,4897,2945,3222,3222
"RPS18",69018,74792,85093,31384,33368,27389
"B3GALT4",79,88,111,48,46,54
"WDR46",3100,3391,3087,1746,1801,1676
"PFDN6",1624,1580,1464,743,845,703
"RGL2",4048,4161,4511,1594,1653,1722
"TAPBP",9740,9838,8971,39668,41072,43406
"ZBTB22",893,986,1023,847,813,785
"DAXX",3821,4068,3235,2887,3130,2994
"KIFC1",5459,5603,3703,3263,3530,3461
"PHF1",1353,1416,1585,1756,1813,1815
"CUTA",2780,2759,2754,634,653,584
"SYNGAP1",804,855,943,588,620,731
"ZBTB9",566,661,513,146,196,173
"BAK1",1739,1758,1934,2638,2665,2428
"GGNBP1",7,13,15,0,0,2
"LINC00336",0,0,0,0,0,0
"ITPR3",1061,1091,850,395,412,473
"LOC100507563",14,10,13,3,5,3
"C6orf125",1776,1967,1770,747,821,624
"MIR3934",44,45,43,14,13,9
"IP6K3",1,1,0,2,0,0
"LEMD2",2409,2367,2558,2477,2559,2440
"MLN",2,3,2,1,0,2
"LOC100507584",0,0,0,0,0,0
"LOC100653005",3,2,0,0,1,3
"MIR1275",0,0,0,0,0,0
"GRM4",1,0,1,11,4,4
"HMGA1",21518,21845,20336,10628,10992,11499
"C6orf1",711,684,690,742,658,661
"NUDT3",420,435,409,166,187,202
"RPS10-NUDT3",0,1,2,0,1,1
"RPS10",2172,2284,2556,1134,1196,1060
"PACSIN1",153,170,183,12,17,18
"SPDEF",0,0,0,0,1,1
"C6orf106",5644,5891,5481,9722,10832,10339
"LOC100131607",37,37,35,16,23,18
"SNRPC",4327,4283,3893,2342,2587,2471
"UHRF1BP1",3614,3578,3399,8132,8993,8715
"TAF11",2025,2054,2027,2175,2469,2317
"ANKS1A",2114,2151,2009,4166,4465,4242
"TCP11",0,0,0,2,0,0
"SCUBE3",85,84,55,68,58,58
"ZNF76",1908,1932,1959,1420,1454,1319
"DEF6",4630,4859,4638,1684,1701,1714
"PPARD",2210,2285,2413,4897,4964,5240
"LOC100507672",69,82,99,108,93,104
"FANCE",1059,1032,1080,328,366,330
"RPL10A",25352,27245,29025,7356,7689,7198
"TEAD3",184,188,168,51,51,62
"TULP1",0,2,0,0,0,0
"FKBP5",4422,4249,4427,4395,5039,5049
"LOC285847",18,18,39,9,27,12
"C6orf81",26,15,44,24,19,35
"C6orf126",0,3,0,0,0,0
"C6orf127",0,0,0,0,0,0
"CLPS",0,0,0,0,0,0
"LHFPL5",0,0,0,0,0,0
"SRPK1",4925,4843,4730,2498,2853,2724
"SLC26A8",42,31,43,17,19,16
"MAPK14",4924,4597,4447,2190,2473,2369
"MAPK13",145,160,174,57,82,77
"BRPF3",2558,2461,2242,2833,2998,3049
"PNPLA1",79,91,86,227,246,240
"C6orf222",0,0,0,1,3,0
"ETV7",7,12,6,3481,3829,3454
"PXT1",0,0,1,82,130,113
"KCTD20",3213,3436,3198,2304,2544,2475
"STK38",2595,2626,2736,3235,3659,3491
"SRSF3",10392,9903,9299,6628,7345,7047
"MIR3925",0,0,0,0,0,0
"CDKN1A",364,389,488,8315,8668,8408
"LOC100652802",808,818,902,75,94,81
"RAB44",4510,4557,5322,416,426,487
"CPNE5",41,38,45,103,144,115
"LOC100127961",0,0,0,0,0,0
"PPIL1",1523,1631,1473,684,736,760
"C6orf89",4783,4808,4789,3499,3912,3852
"PI16",0,0,0,0,1,2
"MTCH1",3932,4362,4326,7986,8555,8198
"FGD2",1168,1130,1127,11226,11632,11612
"PIM1",384,378,387,1876,1982,1906
"TMEM217",9,11,17,154,156,162
"TBC1D22B",1246,1169,1199,1136,1280,1181
"RNF8",1302,1156,1203,811,897,919
"FTSJD2",2342,2446,2337,10774,11930,11346
"CCDC167",265,276,286,171,225,172
"LOC100505530",0,0,0,0,0,0
"LOC100505550",0,0,0,0,0,0
"MIR4462",0,0,0,0,0,0
"MDGA1",52,62,43,1731,1802,1934
"ZFAND3",2362,2225,2347,5313,5675,5622
"BTBD9",744,734,793,511,522,482
"BTBD9-AS1",0,0,1,11,16,14
"GLO1",13159,12682,11850,5707,6303,5659
"DNAH8",32,10,29,27,31,31
"LOC100131047",0,0,0,0,0,0
"GLP1R",0,0,0,0,0,0
"C6orf64",319,346,329,204,226,207
"KCNK5",954,1108,1160,529,543,492
"KCNK17",0,0,0,0,0,0
"KCNK16",0,0,0,0,0,0
"KIF6",0,0,0,0,0,0
"DAAM2",6,4,6,9,11,5
"LOC100505635",2,0,1,1,1,0
"MOCS1",203,246,218,184,200,183
"FLJ41649",0,0,0,0,0,0
"TDRG1",3,3,0,0,0,0
"LRFN2",0,0,0,0,0,0
"LOC100505697",0,0,0,0,0,0
"UNC5CL",26,19,27,27,29,34
"TSPO2",2,5,10,1,1,7
"APOBEC2",17,18,13,9,6,3
"C6orf130",693,617,685,319,340,296
"NFYA",3429,3141,3248,2039,2198,2122
"LOC221442",42,42,67,62,61,90
"TREML1",196,201,208,156,178,209
"TREM2",2048,2334,2143,1950,1959,1864
"TREML2",130,141,193,123,142,128
"TREML3",0,1,2,41,44,52
"TREML4",0,0,0,8,10,6
"TREML2P1",0,1,0,0,0,0
"TREM1",10,21,14,346,371,358
"NCR2",0,0,1,0,0,0
"LOC100505711",0,0,0,0,0,1
"LOC100505730",35,33,48,6,3,7
"FOXP4",2400,2249,2328,1348,1374,1589
"MIR4641",0,0,1,1,0,0
"MDFI",31,24,21,1,5,4
"TFEB",924,930,941,1340,1314,1296
"PGC",1,1,1,0,0,0
"FRS3",256,235,303,111,94,99
"PRICKLE4",159,187,225,341,350,375
"TOMM6",6142,6177,5889,3251,3560,3257
"USP49",183,182,246,307,326,355
"MED20",1044,1112,992,821,920,900
"BYSL",1104,1219,1074,597,752,636
"CCND3",5192,5301,5560,8763,8870,9010
"TAF8",1328,1449,1223,2050,2292,2150
"C6orf132",35,37,39,55,62,72
"GUCA1A",0,1,0,3,3,5
"GUCA1B",54,43,50,66,74,82
"MRPS10",2400,2506,2303,1792,2052,1874
"TRERF1",3497,3546,4578,962,938,1078
"UBR2",2760,2365,2748,2761,2909,2893
"PRPH2",3,2,2,3,1,3
"ATP6V0CP3",0,0,0,0,0,0
"TBCC",1319,1515,1345,949,1077,1029
"FLJ38717",137,117,137,56,64,72
"KIAA0240",1780,1681,1759,645,689,720
"RPL7L1",4283,4467,4201,2369,2647,2392
"C6orf226",48,47,55,31,35,39
"PTCRA",65,48,89,6,0,6
"CNPY3",11531,12383,11321,2954,3239,2892
"GNMT",95,104,109,57,65,49
"PEX6",2025,2062,1932,677,669,667
"PPP2R5D",3652,3813,2984,1783,1871,1898
"MEA1",1421,1621,1455,897,1025,861
"KLHDC3",6230,6630,6877,2086,2065,1986
"RRP36",1684,1685,1520,1508,1667,1566
"CUL7",2164,2246,2178,778,909,928
"MRPL2",1163,1152,1121,548,595,589
"KLC4",678,727,770,328,338,310
"PTK7",329,368,529,84,95,126
"SRF",6487,6775,5810,2972,2953,3088
"CUL9",2779,2814,3010,1584,1570,1762
"C6orf108",1482,1579,1718,494,421,390
"TTBK1",32,48,27,3,0,1
"SLC22A7",0,1,2,0,0,0
"CRIP3",0,0,4,0,0,1
"ZNF318",3693,3657,3568,1069,1204,1246
"ABCC10",1182,1208,1224,874,843,822
"DLK2",144,152,99,84,82,99
"TJAP1",2447,2558,2453,2800,2767,2874
"C6orf154",1,0,2,1,1,0
"YIPF3",3002,3139,3049,1905,2002,2087
"POLR1C",1234,1278,1196,363,444,411
"XPO5",5405,5352,5212,3601,3863,3679
"POLH",2000,2286,1877,1575,1791,1707
"GTPBP2",3794,3988,4226,8065,8844,8610
"MAD2L1BP",1072,1149,1197,1342,1442,1286
"RSPH9",14,7,6,14,25,13
"MRPS18A",1311,1439,1388,1740,1779,1582
"VEGFA",1628,1711,3495,5696,6131,6382
"LOC100132354",1,0,1,0,4,2
"C6orf223",520,591,672,836,801,794
"MRPL14",760,838,702,958,1013,917
"TMEM63B",940,976,1065,2275,2508,2571
"CAPN11",17,9,21,2,6,4
"SLC29A1",4030,4103,3841,958,994,972
"HSP90AB1",59982,60555,54747,44998,50254,47098
"SLC35B2",2429,2614,2663,1040,1174,1158
"MIR4647",0,0,0,0,0,0
"NFKBIE",1010,1086,923,3706,3962,3823
"TMEM151B",0,4,0,5,9,7
"TCTE1",1,1,3,1,1,2
"AARS2",3034,3200,3117,2005,2043,2069
"SPATS1",1,1,1,0,1,0
"CDC5L",3727,3034,3599,3377,3935,3784
"MIR4642",1,1,0,0,0,0
"LOC100505862",0,0,0,0,0,0
"SUPT3H",275,236,284,124,113,128
"MIR586",0,0,0,0,0,0
"RUNX2",8632,8249,8620,3556,3877,4131
"CLIC5",44,30,27,316,329,319
"ENPP4",442,334,553,394,495,504
"ENPP5",36,16,15,3,5,10
"RCAN2",6,7,1,56,77,59
"CYP39A1",1,1,0,0,0,0
"SLC25A27",40,37,48,74,98,92
"LOC100131283",0,0,0,0,1,1
"TDRD6",12,3,7,155,145,188
"PLA2G7",57,34,77,849,1009,996
"LOC100287718",1,2,0,5,4,8
"MEP1A",0,2,0,17,17,22
"GPR116",0,0,0,0,0,0
"GPR110",0,0,0,1,0,0
"TNFRSF21",721,706,686,1404,1556,1488
"CD2AP",1319,754,1367,2148,2545,2610
"GPR111",0,0,0,0,1,1
"GPR115",0,0,1,1,2,1
"OPN5",0,0,0,2,1,3
"C6orf138",5,7,6,95,112,91
"MUT",642,570,726,320,398,334
"LOC100505950",0,0,0,0,0,0
"CENPQ",507,370,522,473,489,482
"GLYATL3",0,0,0,2,0,2
"C6orf141",0,0,0,162,186,187
"RHAG",0,0,0,0,0,0
"LOC100505966",0,0,0,0,0,0
"CRISP2",0,0,0,0,0,0
"CRISP3",0,0,0,0,0,0
"PGK2",0,1,0,1,1,0
"CRISP1",0,0,0,0,0,0
"DEFB133",0,0,0,0,0,0
"DEFB114",0,0,0,0,0,0
"DEFB113",0,0,0,0,0,0
"DEFB110",0,0,0,0,0,0
"DEFB112",0,0,0,0,0,0
"LOC100505985",0,0,0,0,0,0
"TFAP2D",0,0,0,0,0,1
"TFAP2B",0,0,1,0,0,0
"PKHD1",0,0,0,1,1,1
"MIR206",0,0,0,0,0,0
"MIR133B",0,0,0,0,0,0
"IL17A",0,0,0,0,0,0
"IL17F",0,0,0,0,0,0
"MCM3",13569,13891,11280,8729,9461,9119
"PAQR8",1946,1925,1273,1040,1284,1239
"EFHC1",470,437,485,155,168,179
"TRAM2",2058,2083,1949,902,1013,987
"FLJ37798",228,192,212,39,52,48
"LOC730101",366,363,293,507,553,584
"TMEM14A",409,392,373,132,119,102
"GSTA7P",0,0,0,0,0,0
"GSTA2",0,0,0,0,0,0
"GSTA1",0,0,0,0,0,0
"GSTA5",0,0,0,0,0,0
"GSTA3",0,0,0,0,0,0
"GSTA4",108,94,109,6,10,10
"RN7SK",31,35,51,80,74,61
"ICK",617,476,555,216,259,250
"FBXO9",2706,2661,2909,1462,1489,1427
"GCM1",5,3,5,23,25,26
"ELOVL5",5140,4875,5153,4636,5355,5205
"GCLC",850,750,897,1483,1612,1600
"KLHL31",20,17,37,4,4,3
"LRRC1",257,227,226,170,193,194
"MLIP",3,2,1,3,3,1
"TINAG",0,0,0,0,0,0
"FAM83B",51,26,27,40,48,49
"HCRTR2",0,0,4,0,0,0
"GFRAL",0,0,0,0,0,0
"HMGCLL1",0,0,0,0,0,0
"BMP5",0,0,0,0,0,0
"COL21A1",0,2,1,1,3,3
"DST",4331,2735,4749,5410,6370,6567
"LOC100652766",33,15,42,17,25,24
"LOC100652827",7,5,9,13,14,16
"BEND6",45,43,71,43,47,36
"KIAA1586",847,675,838,366,460,380
"ZNF451",1618,1214,2154,1333,1510,1410
"LOC100506156",610,534,576,610,724,679
"BAG2",609,562,503,265,294,289
"RAB23",280,227,263,333,342,343
"LOC100506188",0,0,0,0,0,0
"PRIM2",915,831,798,729,866,728
"MIR548U",0,0,0,0,1,0
"GUSBP4",200,164,202,64,100,68
"LOC727805",2,2,3,0,0,2
"MTRNR2L9",2,2,12,3,5,7
"KHDRBS2",88,73,70,26,38,32
"LGSN",0,0,0,0,0,0
"PTP4A1",2685,2691,2559,3646,4101,4278
"LOC100652921",0,0,0,0,0,0
"PHF3",4175,2485,4729,3309,3889,3884
"EYS",41,31,47,27,32,39
"MCART3P",1,1,4,2,4,5
"LOC728052",31,25,27,7,8,4
"BAI3",46,38,34,16,5,18
"LMBRD1",1287,1300,1360,792,851,901
"COL19A1",22,18,23,6,11,11
"COL9A1",0,0,1,1,0,0
"LOC100507172",4,1,2,2,3,3
"FAM135A",627,383,653,1083,1290,1305
"C6orf57",480,552,510,192,199,197
"SMAP1",921,766,806,724,796,758
"B3GAT2",0,0,0,0,1,3
"OGFRL1",1814,1313,1978,6552,7776,7376
"LOC100507367",326,171,395,720,862,878
"MIR30C2",0,0,0,0,0,1
"MIR30A",0,0,0,0,0,0
"LINC00472",8,8,7,7,1,1
"RIMS1",0,0,0,0,0,1
"KCNQ5",155,169,262,40,59,43
"LOC100507381",2,0,1,0,0,2
"MIR4282",0,0,0,0,0,0
"KHDC1L",1,2,4,3,1,4
"KHDC1",64,68,56,18,24,23
"C6orf147",139,165,144,98,90,81
"DPPA5",0,0,0,0,0,0
"C6orf221",0,0,0,3,3,1
"OOEP",0,2,0,0,0,2
"DDX43",14,11,5,50,52,64
"MB21D1",906,928,880,2727,2954,2722
"MTO1",1989,1858,1943,1432,1551,1560
"EEF1A1",450480,483328,530113,196633,225646,204237
"SLC17A5",2162,2333,2420,1715,1925,1869
"LOC100506740",10,11,18,5,2,5
"CD109",1268,1084,1510,1466,1630,1609
"COL12A1",79,93,59,483,505,456
"COX7A2",5363,5714,5933,3864,4230,3464
"TMEM30A",20144,17018,21577,11335,12433,12837
"LOC100506804",110,99,119,47,78,43
"FILIP1",106,54,117,100,109,87
"MIR4463",0,0,0,0,0,0
"SENP6",10250,7017,11101,4243,4867,4865
"MYO6",1422,1067,1585,1346,1545,1549
"IMPG1",4,2,8,2,7,2
"HTR1B",71,81,62,8,16,12
"IRAK1BP1",197,164,198,46,64,55
"PHIP",10618,6481,11400,8746,9957,10361
"HMGN3",5065,4468,4741,4598,5234,5438
"LOC100288198",215,172,261,247,290,285
"LOC100506851",0,0,0,0,2,0
"LCA5",83,51,83,110,138,160
"SH3BGRL2",230,163,229,278,323,273
"ELOVL4",14,11,13,24,27,27
"TTK",2543,1855,1950,1631,1773,1734
"BCKDHB",757,724,767,130,147,153
"FAM46A",21827,20239,19503,30941,34164,34197
"LOC100506867",52,48,45,299,287,294
"IBTK",2563,1693,2808,2252,2629,2713
"TPBG",1319,1228,1211,1093,1238,1208
"UBE2CBP",158,137,143,59,55,59
"LOC100506880",1,1,7,0,1,0
"DOPEY1",1235,790,1364,5322,6298,6122
"PGM3",975,762,874,696,842,791
"RWDD2A",130,111,133,36,58,76
"ME1",359,352,518,6522,7427,7188
"PRSS35",2,2,2,157,157,107
"SNAP91",128,97,163,19,34,30
"RIPPLY2",1,0,0,0,0,0
"CYB5R4",866,704,943,1027,1081,995
"LOC100506908",4,1,2,11,13,10
"MRAP2",52,71,41,18,15,15
"KIAA1009",588,373,688,538,580,586
"LOC100506926",8,10,17,23,28,35
"TBX18",2714,2209,2369,1802,1968,2077
"NT5E",123,100,130,1306,1495,1551
"SNX14",3449,3072,3715,2218,2509,2374
"SYNCRIP",22058,19028,20520,11552,13208,12979
"SNHG5",4421,4357,4898,2164,2330,2004
"SNORD50A",4,4,1,2,5,1
"SNORD50B",31,19,21,31,25,25
"LOC643962",0,0,0,2,2,0
"HTR1E",0,0,0,3,0,2
"CGA",0,0,0,0,0,0
"ZNF292",4288,2596,5554,3623,4247,4275
"GJB7",5,1,1,4,5,5
"C6orf162",290,248,337,108,107,88
"C6orf163",64,51,92,28,26,26
"C6orf164",121,66,165,35,55,47
"C6orf165",11,12,9,22,19,9
"SLC35A1",1762,1612,2055,843,862,886
"RARS2",1514,1446,1532,981,1111,956
"ORC3",1776,1436,1448,971,1117,1133
"AKIRIN2",1524,1442,1559,2188,2280,2389
"AKIRIN2-AS1",213,205,246,250,260,233
"SPACA1",0,0,0,0,0,0
"CNR1",264,195,249,20,21,36
"RNGTT",1633,1538,1670,1009,1141,1103
"PNRC1",2311,2218,2076,5084,5231,5476
"SRSF12",45,33,43,36,41,25
"PM20D2",1749,1513,1494,403,539,507
"GABRR1",0,0,2,0,0,2
"GABRR2",89,100,155,233,255,252
"UBE2J1",6547,6100,7474,2559,2787,2800
"RRAGD",1274,1347,1887,964,1031,958
"ANKRD6",265,277,340,90,86,91
"LYRM2",1884,1674,1952,1199,1264,1119
"MDN1",12231,12286,11302,4526,5177,5253
"CASP8AP2",2992,1815,3619,2909,3397,3429
"GJA10",0,0,0,0,0,0
"LOC100507024",0,0,0,0,0,0
"BACH2",26,21,19,31,39,23
"MIR4464",0,0,0,0,0,0
"MAP3K7",3240,2858,3307,2887,3321,3304
"MIR4643",0,0,1,0,0,0
"EPHA7",97,105,114,1556,1768,1760
"TSG1",5,1,0,25,26,19
"MANEA",928,625,1025,1045,1144,1180
"FUT9",1,2,1,1,3,1
"UFL1",1652,1062,1686,896,1020,1094
"FHL5",0,0,0,0,0,0
"GPR63",275,235,333,56,73,55
"NDUFAF4",651,604,622,219,221,229
"KLHL32",15,4,10,1,2,2
"MMS22L",1736,1277,1759,1064,1222,1141
"MIR2113",0,0,0,0,0,0
"POU3F2",0,2,0,11,12,4
"FBXL4",662,603,635,237,262,261
"MIR548AI",0,0,0,0,0,0
"C6orf168",3,3,1,2,1,2
"COQ3",155,188,170,139,138,128
"PNISR",10190,6546,11998,10428,12367,13175
"LOC100506090",173,168,164,122,137,124
"USP45",553,364,549,344,345,361
"LOC100130890",58,75,68,11,32,22
"CCNC",1690,1437,1886,2045,2262,2141
"PRDM13",24,29,22,10,7,9
"MCHR2",0,1,0,0,0,0
"LOC728012",0,0,0,0,0,0
"SIM1",180,118,245,568,606,608
"ASCC3",3119,2332,3146,3036,3388,3405
"GRIK2",57,50,55,31,29,42
"HACE1",627,489,699,280,301,260
"LIN28B",1,0,2,1,0,0
"BVES",723,735,714,1021,1116,1152
"C6orf112",24,30,42,20,32,33
"POPDC3",83,53,74,84,122,104
"PREP",2772,2981,2604,1107,1168,1255
"LOC100506148",0,0,0,0,1,0
"PRDM1",467,429,359,4637,5218,5295
