"","THP1_0H","THP1_0H_2","THP1_0H_3","THP1_16H","THP1_16H_2","THP1_16H_3"
"ATP13A2",1108,1155,1161,1415,1411,1447
"SDHB",1863,1973,1947,1652,1728,1559
"PADI2",498,547,858,14,25,10
"LOC400743",1,0,2,0,0,0
"PADI1",2,2,1,0,4,7
"PADI3",0,0,2,0,0,0
"MIR3972",0,0,0,0,0,0
"PADI4",4,0,5,0,0,0
"PADI6",0,0,1,2,3,3
"RCC2",11253,11835,10048,11462,12258,11770
"ARHGEF10L",1374,1439,1447,5261,5295,5075
"ACTL8",1,1,0,0,0,0
"IGSF21",0,0,0,0,0,0
"KLHDC7A",0,0,0,0,0,0
"PAX7",0,0,0,0,0,0
"TAS1R2",0,0,0,0,0,1
"ALDH4A1",500,484,459,126,148,139
"MIR4695",0,0,0,0,0,0
"MIR1290",0,0,1,0,0,0
"IFFO2",574,551,575,638,639,698
"UBR4",15657,16159,17395,27553,31220,31702
"LOC100652915",38,30,37,35,50,34
"KIAA0090",3733,4077,3651,2249,2304,2232
"MRTO4",2267,2504,1970,825,970,813
"AKR7L",30,25,14,8,5,4
"AKR7A3",61,50,47,12,11,7
"LOC100506730",329,301,342,57,43,54
"AKR7A2",2676,2980,2289,394,377,364
"PQLC2",1835,1889,1619,438,457,438
"CAPZB",9658,10115,9268,9662,10637,10309
"LOC644075",156,174,194,239,267,188
"LOC644083",3,7,0,4,13,7
"C1orf151",901,896,991,926,963,806
"C1orf15-NBL1",0,0,0,0,0,0
"NBL1",10,5,8,14,16,32
"HTR6",2,0,3,0,2,2
"TMCO4",764,701,650,193,204,258
"RNF186",0,0,0,0,0,0
"OTUD3",819,798,881,608,680,755
"PLA2G2E",0,0,0,0,0,0
"PLA2G2A",0,0,0,0,0,0
"PLA2G5",4,0,2,0,0,0
"PLA2G2D",5,14,12,0,4,3
"PLA2G2F",2,1,1,0,0,1
"PLA2G2C",10,9,11,1,2,1
"UBXN10",1,1,2,0,0,0
"VWA5B1",0,1,0,0,0,0
"LOC339505",0,0,0,0,0,0
"CAMK2N1",0,0,1,4,6,10
"MUL1",741,787,828,497,493,500
"FAM43B",0,2,0,0,0,0
"CDA",180,190,205,23,21,17
"PINK1",1822,1918,1752,432,471,499
"DDOST",20220,21513,19534,10355,11069,10254
"KIF17",1514,1650,1440,374,404,379
"SH2D5",1,2,1,1,0,0
"HP1BP3",10588,10274,9482,5655,6052,6083
"EIF4G3",10764,8992,11423,6783,7615,7685
"MIR1256",0,0,0,0,0,0
"ECE1",364,443,279,9402,10281,9933
"LOC100506824",0,0,0,4,3,1
"LOC100506801",0,1,0,15,14,13
"LOC100652932",0,0,0,0,0,0
"NBPF3",302,275,296,106,121,100
"ALPL",0,0,0,0,0,0
"RAP1GAP",91,125,109,11,9,8
"USP48",3970,3397,4028,2092,2560,2443
"LDLRAD2",21,32,37,1,0,2
"HSPG2",3488,3585,4626,766,730,751
"CELA3B",0,0,0,0,0,0
"CELA3A",0,0,0,0,0,0
"LINC00339",222,266,251,70,72,61
"CDC42",8070,8016,8243,6492,7513,6959
"WNT4",8,8,8,11,12,14
"MIR4418",0,0,0,0,0,0
"ZBTB40",3613,3481,3399,2563,2948,2966
"EPHA8",0,0,0,0,0,0
"C1QA",8,11,9,3,2,5
"C1QC",1,0,1,2,2,4
"C1QB",0,0,0,8,3,5
"EPHB2",3,0,1,301,363,363
"MIR4684",0,0,0,0,0,0
"MIR4253",0,0,0,0,0,0
"LOC729059",1,0,1,0,2,3
"KDM1A",4096,4202,3850,1931,2071,2050
"MIR3115",0,0,0,0,0,1
"MIR4419A",0,0,0,0,1,0
"LUZP1",2350,2291,2359,4099,4715,4552
"HTR1D",0,0,0,0,0,0
"HNRNPR",6643,6105,5742,3939,4610,4598
"ZNF436",325,315,299,374,438,420
"C1orf213",35,25,45,15,17,16
"TCEA3",163,189,234,9,14,9
"ASAP3",10,11,21,63,58,79
"E2F2",757,721,724,2034,2156,2198
"ID3",25,37,6,185,160,190
"MDS2",0,0,0,0,1,0
"RPL11",41256,44021,50654,21268,23782,21329
"TCEB3",1655,1684,1508,2220,2308,2268
"LOC100506963",26,21,29,14,11,8
"PITHD1",751,842,777,581,589,542
"LOC100509213",27,25,25,29,20,32
"LYPLA2",1693,1756,1731,1498,1559,1433
"GALE",168,234,218,157,135,128
"HMGCL",675,708,766,611,679,610
"FUCA1",328,269,369,113,112,119
"CNR2",0,0,1,0,0,0
"MIR378F",0,0,0,0,0,0
"PNRC2",7268,6627,6684,8331,9293,8715
"SRSF10",5436,4561,5395,3814,4445,4403
"MYOM3",0,0,0,0,0,0
"IL22RA1",0,2,0,11,7,8
"IL28RA",0,0,0,0,1,1
"LOC284632",0,0,0,0,0,0
"GRHL3",31,22,27,14,21,13
"C1orf201",294,282,279,97,81,99
"NIPAL3",1377,1472,1390,450,551,520
"RCAN3",299,284,223,47,35,41
"LOC100506985",240,194,192,26,21,18
"C1orf130",0,0,0,0,1,0
"SRRM1",6794,6045,6784,5728,6593,6737
"CLIC4",4864,4280,5532,8966,10056,9790
"RUNX3",2144,2245,1922,7343,7609,7905
"MIR4425",0,0,0,1,1,0
"SYF2",1356,1203,1518,1132,1191,1164
"C1orf63",2530,2172,2623,2177,2327,2316
"RHD",24,28,27,39,52,55
"TMEM50A",2463,2472,2369,3584,3875,3794
"RHCE",11,6,15,6,4,16
"TMEM57",1276,1118,1310,606,730,679
"LDLRAP1",1218,1239,1404,284,295,284
"MAN1C1",455,444,546,179,167,188
"LOC100507013",1,4,2,11,3,5
"SEPN1",6221,6370,6156,2515,2641,2721
"FAM54B",1540,1499,1711,898,1014,928
"LOC646471",302,288,357,135,131,165
"C1orf135",240,243,238,155,182,178
"PAQR7",164,228,271,76,87,106
"STMN1",16835,15850,12448,3927,4557,4034
"MIR3917",0,0,0,0,0,0
"PAFAH2",520,487,470,165,151,187
"LOC100652941",0,0,0,1,0,0
"EXTL1",14,9,20,0,0,1
"SLC30A2",0,0,0,0,0,0
"TRIM63",5,9,8,3,1,0
"PDIK1L",266,212,302,88,92,81
"GRRP1",0,0,3,0,0,0
"ZNF593",273,296,310,167,142,135
"CNKSR1",29,41,15,8,8,12
"CATSPER4",0,0,0,0,0,0
"CEP85",2377,2546,2201,981,1098,1005
"SH3BGRL3",8833,8360,8951,11692,12773,13860
"UBXN11",782,704,734,328,383,357
"CD52",416,422,458,817,995,907
"AIM1L",1,1,0,5,5,3
"ZNF683",0,0,0,1,1,2
"LIN28A",2,2,1,3,2,3
"DHDDS",884,899,910,701,850,733
"HMGN2",27365,27218,20123,12277,13122,12670
"RPS6KA1",6906,7360,7667,7876,8174,7662
"MIR1976",0,0,0,0,0,1
"ARID1A",11374,11427,10515,6570,7038,7703
"PIGV",493,566,571,278,290,298
"ZDHHC18",1055,1068,1105,1444,1550,1572
"SFN",3,3,1,2,4,4
"GPN2",656,705,629,585,608,596
"GPATCH3",493,530,463,595,635,609
"NR0B2",0,0,3,0,0,0
"NUDC",3905,3999,3574,2186,2602,2303
"C1orf172",0,3,3,0,3,1
"OSTCP2",1,1,1,0,0,0
"TRNP1",30,51,26,7,2,6
"FAM46B",15,13,15,1,1,2
"SLC9A1",1143,1063,1093,2002,2103,2164
"WDTC1",2353,2445,2426,1347,1465,1484
"TMEM222",1032,1035,962,684,684,704
"LOC644961",150,156,149,78,100,97
"SYTL1",439,517,872,133,128,134
"MAP3K6",1191,1228,1260,569,538,553
"FCN3",0,2,0,0,0,0
"CD164L2",1,2,0,0,0,0
"GPR3",26,18,22,18,12,16
"WASF2",9959,10485,9141,12718,14195,14476
"AHDC1",481,463,538,359,380,410
"FGR",990,908,987,2763,2867,2848
"IFI6",561,592,813,50574,51095,50374
"FAM76A",197,196,192,133,126,161
"STX12",1080,1089,1099,2297,2546,2548
"PPP1R8",2229,2267,2031,1370,1578,1482
"SCARNA1",1,3,1,2,3,3
"C1orf38",952,1016,1296,9512,9805,9773
"RPA2",1444,1410,1397,1125,1298,1140
"SMPDL3B",14,29,20,8,6,9
"XKR8",247,277,281,145,178,131
"EYA3",1398,1341,1332,1775,1989,2011
"LOC653566",1234,1228,1143,993,1007,893
"PTAFR",73,105,123,706,738,742
"DNAJC8",4509,4413,4258,3818,4493,4088
"ATPIF1",2162,2226,2113,790,774,877
"SESN2",543,532,1037,895,913,891
"MED18",661,702,629,441,467,415
"PHACTR4",2020,2003,1739,7467,8467,8453
"RCC1",3772,3974,3065,2019,2088,2055
"SNHG3",934,874,768,392,398,445
"SNORA73A",21,20,18,5,13,10
"RNU105A",16,17,9,1,8,6
"TRNAU1AP",505,589,550,335,366,351
"SNHG12",384,367,348,217,289,224
"SNORD99",3,10,10,8,10,5
"SNORA61",73,75,76,54,51,69
"SNORA44",18,13,13,20,21,6
"SNORA16A",26,35,16,15,23,20
"RAB42",9,5,3,3,1,7
"TAF12",812,730,725,582,675,661
"RNU11",4,0,3,2,2,6
"GMEB1",588,626,528,548,639,536
"YTHDF2",4050,3992,4003,2666,3057,2849
"OPRD1",0,0,0,0,0,0
"EPB41",1813,1752,1911,2022,2200,2290
"TMEM200B",0,1,0,4,4,4
"SRSF4",3956,3817,3557,4739,5118,5191
"MECR",559,581,557,195,183,171
"PTPRU",137,132,113,70,48,66
"MATN1",5,5,5,6,2,6
"LOC100129196",66,88,76,29,39,17
"LAPTM5",24984,25357,23917,21863,23217,23060
"MIR4420",1,1,3,1,3,2
"SDC3",1440,1542,1698,2233,2491,2423
"PUM1",5187,5032,4909,4589,5245,5098
"SNORD103A",30,37,45,52,44,37
"SNORD103B",36,34,44,47,39,41
"SNORD85",2,3,0,0,0,2
"PRO0611",4,9,10,5,4,7
"NKAIN1",35,47,31,476,425,506
"SNRNP40",2651,2600,2372,1783,1872,1771
"ZCCHC17",965,1022,851,534,635,608
"FABP3",18,15,20,7,9,7
"SERINC2",289,271,282,167,128,140
"LOC149086",0,0,0,2,6,8
"LOC284551",0,0,0,0,8,2
"TINAGL1",0,0,1,13,6,5
"HCRTR1",2,0,4,5,2,2
"PEF1",913,967,863,846,900,777
"COL16A1",2,0,1,0,3,2
"BAI2",13,26,12,21,23,30
"MIR4254",0,0,0,0,0,0
"SPOCD1",0,0,1,9,9,4
"PTP4A2",4189,4217,4368,6517,7370,7156
"LOC100507229",8,6,8,11,24,20
"KHDRBS1",6669,6477,5805,4572,5279,5109
"TMEM39B",828,909,815,357,400,397
"KPNA6",2705,2795,2984,2509,2622,2503
"LOC100652828",0,0,0,0,0,1
"TXLNA",4979,4979,4762,5217,5559,5376
"CCDC28B",114,107,118,62,51,45
"LOC100652837",13,13,30,8,11,11
"IQCC",280,318,352,150,167,124
"DCDC2B",80,79,123,33,38,28
"TMEM234",201,194,168,89,98,94
"EIF3I",4537,5160,4569,2675,3053,2748
"MTMR9LP",73,58,88,35,32,27
"FAM167B",11,9,12,0,0,3
"LCK",0,0,0,0,0,0
"HDAC1",8243,8331,8251,3823,4223,4175
"MARCKSL1",679,649,553,2980,3105,2975
"LOC100128071",44,37,52,33,31,26
"TSSK3",251,246,262,250,207,255
"BSDC1",1283,1425,1365,1438,1517,1479
"ZBTB8B",0,0,2,0,0,0
"ZBTB8A",56,54,40,33,39,44
"ZBTB8OS",581,505,559,307,401,361
"RBBP4",5808,5827,5699,3596,4275,3855
"SYNC",39,37,19,19,15,14
"KIAA1522",361,376,372,2242,2305,2491
"YARS",5984,6323,7509,4494,5033,4728
"S100PBP",1124,1101,1216,723,674,688
"FNDC5",1,4,2,2,0,1
"HPCA",0,0,0,0,1,0
"TMEM54",172,169,137,224,231,226
"RNF19B",469,434,447,3473,3764,3683
"LOC100505584",0,1,0,1,4,2
"AK2",17710,18412,17044,6355,7363,6780
"ADC",13,11,5,43,42,38
"TRIM62",240,263,209,182,233,264
"ZNF362",1079,1023,961,233,252,263
"PHC2",1439,1441,1360,1356,1385,1313
"MIR3605",4,1,1,3,4,3
"ZSCAN20",363,399,353,291,370,343
"CSMD2",1,0,0,0,0,0
"HMGB4",0,0,0,0,0,0
"LOC402779",0,0,0,0,0,0
"C1orf94",0,0,0,0,0,0
"MIR552",0,0,0,0,0,0
"GJB5",8,3,7,2,2,3
"GJB4",5,0,3,2,0,2
"GJB3",3,1,6,7,3,2
