Entry	Gene names	yourlist:M20200923E5A08BB0B2D1C45B0C7BC3B55FD26556BA4708Z
Q8NEV8	EXPH5 KIAA0624 SLAC2B	23086
C9J069	AJM1 C9orf172	389813
P0C025	NUDT17	200035
Q5VX52	SPATA1	100505741
Q8N7A1	KLHDC1 MSTP025	122773
Q14435	GALNT3	2591
P26006	ITGA3 MSK18	3675
Q9NYL4	FKBP11 FKBP19 UNQ336/PRO535	51303
Q6ZNE9	RUFY4	285180
Q53QV2	LBH	81606
Q92782	DPF1 BAF45B NEUD4	8193
Q96FJ0	STAMBPL1 AMSHLP KIAA1373	57559
O75602	SPAG6 PF16	9576
Q86YW9	MED12L KIAA1635 TNRC11L TRALP TRALPUSH PRO0314	116931
P57058	HUNK MAKV	30811
Q9Y6F6	IRAG1 IRAG JAW1L MRVI1	10335
Q9H469	FBXL15 FBXO37	79176
Q9BPZ2	SPIN2B SPIN2	474343
P16871	IL7R	3575
O43795	MYO1B	4430
Q9ULZ1	APLN APEL	8862
Q8TB68	PRR7	80758
Q96HA9	PEX11G PEX11C	92960
O95715	CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273	9547
Q8TCB0	IFI44 MTAP44	10561
Q9UJM3	ERRFI1 MIG6	54206
Q9H808	TLE6	79816
Q96FI4	NEIL1	79661
Q6ZP80	TMEM182 UNQ6974/PRO21957	130827
O15229	KMO	8564
P22079	LPO SAPX	4025
Q7Z7L8	C11orf96 AG2	387763
Q96HB5	CCDC120 JM11	90060
Q6K0P9	PYHIN1 IFIX	149628
P09629	HOXB7 HOX2C	3217
Q14767	LTBP2 C14orf141 LTBP3	4053
A6NER0	TBC1D3F TBC1D3E	84218
Q05586	GRIN1 NMDAR1	2902
Q15746	MYLK MLCK MLCK1 MYLK1	4638
O95231	VENTX HPX42B VENTX2	27287
P49796	RGS3	5998
Q8TCQ1	MARCHF1 MARCH1 RNF171	55016
Q01995	TAGLN SM22 WS3-10	6876
Q9Y2B9	PKIG	11142
P09871	C1S	716
P21754	ZP3 ZP3A ZP3B ZPC	7784
P32456	GBP2	2634
Q86XF7	ZNF575	284346
Q96DB2	HDAC11	79885
Q9NPD7	NRN1 NRN	51299
Q99572	P2RX7	5027
Q8TAK6	OLIG1 BHLHB6 BHLHE21	116448
O00192	ARVCF	421
Q9NRM6	IL17RB CRL4 EVI27 IL17BR UNQ2501/PRO19612	55540
A0A075B759	PPIAL4E	730262,728945
P0DN26	PPIAL4F	730262,728945
P47895	ALDH1A3 ALDH6	220
O00519	FAAH FAAH1	2166
Q71RH2	TLCD3B FAM57B FP1188	83723
Q9H902	REEP1 C2orf23 SPG31	65055
Q96NU1	SAMD11	148398
Q9UJ37	ST6GALNAC2 SIAT7B SIATL1 STHM	10610
Q9H4B7	TUBB1	81027
P15313	ATP6V1B1 ATP6B1 VATB VPP3	525
O14495	PLPP3 LPP3 PPAP2B	8613
Q6QEF8	CORO6 PP1009 PP1782 PP1881	84940
Q4LDE5	SVEP1 C9orf13 CCP22 SELOB	79987
P28300	LOX	4015
Q8WWL7	CCNB3 CYCB3	85417
Q9H8X9	ZDHHC11 ZNF399	79844
A6NK59	ASB14	142686
