	CL.1.1	CL.1.2	CL.2.1	CL.2.2	CL.3.1	CL.3.2	Average	log2
9907	72.11273	61.82	686.8102	737.6031	701.8204	688.5041	491.4450883	8.940886416
146057	580.1797	585.6631	431.1947	457.6845	452.367	443.4959	491.76415	8.941822755
91752	776.8508	797.1526	344.1554	355.031	345.0152	333.0871	491.8820167	8.9421685
6548	226.1717529	247.2799925	622.7812651	600.3979013	651.557399	603.5265689	491.95248	8.942375155
5423	658.8481	657.2442	396.6792	412.6171	413.2736	413.7227	492.06415	8.942702601
4338	888.2978	898.0168	276.6249	287.9306	294.7522	307.6559	492.2130333	8.943139049
65996	301.5623	331.8758	572.2584	579.3664	578.3348	591.7414	492.5231833	8.944047824
9922	452.3435	497.8137	451.2038	475.7114	524.9691	553.2844	492.5543167	8.944139017
3487	98.33554	117.1326	692.8129	675.5102	699.9588	672.377	492.68784	8.944530055
3034	350.7301	344.8905	567.7564	575.8612	549.7903	567.5507	492.7632	8.944750708
8310	173.7261	156.1768	684.3091	673.0065	643.4905	627.7173	493.07105	8.945651739
57132	403.1757	335.1295	533.2408	541.8103	603.7765	541.4992	493.1053333	8.945752047
54432	478.5663177	367.6663047	535.7419558	533.297552	500.768401	543.3599942	493.2334209	8.946126748
81856	668.6817	673.5126	401.6814	400.5991	413.8941	401.9375	493.3844	8.94656829
120534	599.8468	673.5126	411.1857	420.1283	438.7153	417.4444	493.4721833	8.946824953
284309	652.2924	595.4242	433.1956	417.6246	444.9206	418.6849	493.6903833	8.947462733
114803	691.6266646	803.6599757	383.1730515	367.5496744	376.0416989	341.1506813	493.8669577	8.947978638
26747	842.4078	832.9431	326.6475	323.9845	311.5065	326.2641	493.9589167	8.948247245
5000	603.1247	715.8105	409.685	390.5841	407.6888	437.2931	494.0310333	8.94845786
55054	416.2871	435.9937	517.2336	519.2766	540.4824	535.9167	494.19835	8.948946384
84284	363.8415155	322.1147271	538.2430853	605.40539	585.1605974	550.8032818	494.2614329	8.949130527
55105	839.1299817	927.299972	288.6303534	309.4628048	301.5779961	299.5923256	494.2822389	8.949191257
92105	413.0093	383.9347	507.2291	554.8298	561.5804	546.4614	494.50745	8.949848446
4832	147.5033	156.1768	675.305	668.4997	655.9011	663.6931	494.5131667	8.949865124
22832	829.2964	819.9284	330.6493	319.9785	346.2562	323.783	494.9819667	8.951232155
22841	685.071	660.4979	369.667	405.6066	439.9564	409.3808	495.02995	8.951372003
55133	596.569	627.961	428.1934	420.6291	452.9875	444.1162	495.0760333	8.9515063
51204	344.1744	328.6221	556.7514	564.344	598.8123	579.3359	495.3400167	8.952275365
64131	314.6737	292.8316	583.7636	587.3784	602.5355	591.1211	495.3839833	8.952403414
84336	304.8402	335.1295	585.2643	593.8882	571.5089	582.4373	495.5114	8.952774439
7156	298.2845	286.3242	609.2752	629.4413	575.8526	574.3737	495.5919167	8.953008846
26149	694.9045	764.6158	364.1645	382.5721	372.3185	396.3551	495.82175	8.953677749
594	219.616	348.1442	617.779	599.8972	591.9864	599.1847	496.10125	8.954490782
